ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0005925	focal adhesion	169/4702	422/19869	3.158598862013424e-14	1.3200789423108154e-11	1.0230201500709593e-11	VIM/SRC/PTK2B/ACTG1/CD44/ICAM1/MARCKS/ACTN1/PLAU/RDX/LCP1/LMO7/PTK2/ARHGAP31/FERMT2/YWHAE/MRC2/SDC4/ARPC2/MAP2K1/FLNB/CTTN/ITGB7/CAT/LRP1/FZD2/CD9/PABPC1/YES1/PPFIBP1/PFN1/IGF2R/ITGB1/GNB2/ITGA3/HMGA1/DDR2/NCKAP1/TNC/CAV1/RPL12/DPP4/PARVG/ZYX/ADGRE5/PAK1/SLC4A2/CYFIP1/FLNC/AKAP12/RAB21/CYBA/GJA1/PARVA/ARL14EP/PDLIM1/RRAS/ATP6V0A2/RHOG/ALCAM/CNN3/GSN/ACTN4/LIMA1/PARVB/PHLDB2/MMP14/SVIL/SLC9A1/RPS19/ACTN3/AMBRA1/FAT1/KIF23/JUP/RND3/CSRP2/ENG/HCK/HYOU1/PCBP2/ABCB4/HACD3/EPB41L2/PTPRC/HSPG2/TNS1/MAP4K4/MAP2K2/CD151/TSPAN4/PRAG1/AIF1L/ARHGEF7/CLASP1/SORBS1/ITGB2/ANXA6/RPLP0/RHOU/RPLP1/DAB2/ITGA5/TLN2/FHL3/ADGRB1/KRAS/ITGA6/NEXN/FZD1/ALOX15B/ITGA1/SH3KBP1/ACTB/LMLN/FGFR3/ITGB8/MYH9/SLC6A4/EPHA2/TGM2/TPM4/STARD8/SPRY4/ARHGAP22/CAV3/EHD3/CASS4/TRIP6/TLE2/FHL1/DST/SNTB2/PTK7/CDH13/ITGB5/WASF1/L1CAM/PLAUR/PVR/NECTIN2/ADAM9/FBLN7/LAYN/CD59/TNS3/NHS/EPB41L5/RPL5/SNTB1/CDC42EP1/DLC1/CPNE3/RHOA/ANXA1/AFAP1/DIXDC1/SCARF2/CORO2B/MCAM/OPRM1/ACTN2/ITGA2B/FHL2/SNAP23/ITGA4/ITGB4/CAV2/NFASC	169
GO:0030055	cell-substrate junction	172/4702	432/19869	3.46477412680004e-14	1.3200789423108154e-11	1.0230201500709593e-11	VIM/SRC/PTK2B/ACTG1/CD44/ICAM1/MARCKS/ACTN1/PLAU/RDX/LCP1/LMO7/PTK2/ARHGAP31/FERMT2/YWHAE/MRC2/SDC4/ARPC2/MAP2K1/FLNB/CTTN/ITGB7/CAT/LRP1/FZD2/CD9/PABPC1/YES1/PPFIBP1/PFN1/IGF2R/ITGB1/GNB2/ITGA3/HMGA1/DDR2/NCKAP1/TNC/CAV1/RPL12/DPP4/PARVG/ZYX/ADGRE5/PAK1/SLC4A2/CYFIP1/FLNC/AKAP12/RAB21/CYBA/GJA1/PARVA/ARL14EP/PDLIM1/RRAS/ATP6V0A2/RHOG/ALCAM/CNN3/GSN/ACTN4/LIMA1/PARVB/PHLDB2/MMP14/SVIL/SLC9A1/RPS19/ACTN3/AMBRA1/FAT1/KIF23/JUP/RND3/CSRP2/ENG/HCK/HYOU1/PCBP2/ABCB4/HACD3/EPB41L2/PTPRC/HSPG2/TNS1/MAP4K4/MAP2K2/CD151/TSPAN4/PRAG1/AIF1L/ARHGEF7/CLASP1/SORBS1/ITGB2/ANXA6/RPLP0/RHOU/RPLP1/DAB2/ITGA5/TLN2/FHL3/ADGRB1/KRAS/ITGA6/NEXN/FZD1/ALOX15B/ITGA1/SH3KBP1/ACTB/LMLN/FGFR3/ITGB8/MYH9/SLC6A4/EPHA2/TGM2/TPM4/STARD8/SPRY4/ARHGAP22/CAV3/EHD3/CASS4/TRIP6/TLE2/FHL1/DST/SNTB2/PTK7/CDH13/ITGB5/WASF1/L1CAM/PLAUR/PVR/NECTIN2/NRAP/EPPK1/ADAM9/FBLN7/LAYN/CD59/TNS3/NHS/EPB41L5/RPL5/SNTB1/CDC42EP1/DLC1/CPNE3/RHOA/ANXA1/AFAP1/DIXDC1/SCARF2/CORO2B/MCAM/SMPX/OPRM1/ACTN2/ITGA2B/FHL2/SNAP23/ITGA4/ITGB4/CAV2/NFASC	172
GO:0045121	membrane raft	135/4702	326/19869	6.78358445331623e-13	1.6931128945909635e-10	1.3121098685806474e-10	SRC/PTK2B/RFTN1/CD24/FAS/ICAM1/CAVIN1/LAT2/PECAM1/LCK/PGK1/PRKAR2B/CFLAR/MYOF/VDAC1/HMOX1/MYO1C/SDC4/KCNA3/PLLP/GPC1/TUBB/BST2/ITGAM/PPT1/TGFBR2/LRRK2/CLN6/BIRC2/ITGB1/RIPK1/SMO/TRADD/ENO2/CAV1/EFNA5/DPP4/CD55/GJA1/ARID3A/CRK/LRP4/TNF/LRP6/RTN4RL1/CARD11/EHD2/SPRED1/SERPINH1/ATP1B1/SLC9A1/FAIM2/SMPD2/ANGPT1/SCARB1/EPHB1/ADTRP/AKAP6/HCK/S100A10/ABCB4/STOML1/RET/ATP2B4/PTPRC/CD79A/TRAF2/CXADR/IRS1/SORBS1/ATP1A4/ITGB2/ADRA1B/EFNB1/SLC1A2/ITGA1/LRP8/SLC6A4/RGMB/MAL/CHRNA7/OLR1/SYNJ2/MYADM/CD8A/CAV3/FYN/PLPP3/CD19/FXYD1/INSR/CDH13/GABBR1/ATP1A2/LAT/S1PR1/MAPT/CR1/UNC5A/PTGS2/TFPI/KCNQ1/OPRD1/CHRNB2/CAVIN3/NOS1AP/F2R/ADCY1/STOM/MLC1/TNR/DLC1/TRPM8/ATP2B2/KCND2/ARC/MALL/EMP2/NFAM1/CD226/LY6K/OPRM1/PAG1/ADGRG1/CDH1/SELPLG/ABCG2/NTSR1/ADD2/TEX101/CD36/PTGIS/KCNE1/CAV2/FASLG	135
GO:0098857	membrane microdomain	135/4702	327/19869	8.887731730136291e-13	1.6931128945909635e-10	1.3121098685806474e-10	SRC/PTK2B/RFTN1/CD24/FAS/ICAM1/CAVIN1/LAT2/PECAM1/LCK/PGK1/PRKAR2B/CFLAR/MYOF/VDAC1/HMOX1/MYO1C/SDC4/KCNA3/PLLP/GPC1/TUBB/BST2/ITGAM/PPT1/TGFBR2/LRRK2/CLN6/BIRC2/ITGB1/RIPK1/SMO/TRADD/ENO2/CAV1/EFNA5/DPP4/CD55/GJA1/ARID3A/CRK/LRP4/TNF/LRP6/RTN4RL1/CARD11/EHD2/SPRED1/SERPINH1/ATP1B1/SLC9A1/FAIM2/SMPD2/ANGPT1/SCARB1/EPHB1/ADTRP/AKAP6/HCK/S100A10/ABCB4/STOML1/RET/ATP2B4/PTPRC/CD79A/TRAF2/CXADR/IRS1/SORBS1/ATP1A4/ITGB2/ADRA1B/EFNB1/SLC1A2/ITGA1/LRP8/SLC6A4/RGMB/MAL/CHRNA7/OLR1/SYNJ2/MYADM/CD8A/CAV3/FYN/PLPP3/CD19/FXYD1/INSR/CDH13/GABBR1/ATP1A2/LAT/S1PR1/MAPT/CR1/UNC5A/PTGS2/TFPI/KCNQ1/OPRD1/CHRNB2/CAVIN3/NOS1AP/F2R/ADCY1/STOM/MLC1/TNR/DLC1/TRPM8/ATP2B2/KCND2/ARC/MALL/EMP2/NFAM1/CD226/LY6K/OPRM1/PAG1/ADGRG1/CDH1/SELPLG/ABCG2/NTSR1/ADD2/TEX101/CD36/PTGIS/KCNE1/CAV2/FASLG	135
GO:0043025	neuronal cell body	186/4702	497/19869	2.5613481876692816e-12	3.903494638007985e-10	3.0250870174367726e-10	VTI1A/SRC/SYNPO/PTK2B/GPM6A/NSMF/UNC5C/PAM/SLC6A6/KCNH1/PNOC/KCNN1/CKB/CANX/DAB2IP/PTBP2/PRKAR2B/ENC1/MAP2K4/STRN3/PPT1/LRRK2/SERPINI1/PTPRF/GHR/GRIK5/CRTC1/RAP1GAP/CCR4/ASS1/ITPR3/SOD1/ENO2/CNTNAP2/ZNF385A/MAP1A/PYCARD/PICALM/LPAR1/OLFM1/CYFIP1/AKAP12/AZIN2/CYBA/NEURL1/MAP1B/CX3CL1/KCNJ2/LRP4/ALCAM/CADM2/PTPRN/TNF/NGFR/LRP6/AVPR1B/VGF/RTN4RL1/MAP2/FXR1/RUFY3/GLRX2/CCNG1/P2RX7/PPP1R9B/CNGA3/CRYAB/ASIC2/SEPTIN4/ATXN10/CIT/RACK1/KCNN4/IGF2BP1/RET/RPTOR/SLC2A3/AURKA/KLHL14/MYO1D/ATP13A2/WDFY3/TANC1/SHTN1/FXR2/FZD5/TRPM4/P2RX4/KREMEN1/ARHGEF7/UCHL1/SRD5A1/WHRN/PDE9A/KLHL17/TUBB4A/PTPRS/NQO1/PDE11A/TIAM2/CPLX2/APOD/PSD2/CRMP1/HIP1R/SORL1/ITGA1/LRP8/PMM1/CACNG7/DLG2/HPCA/SERPINF1/ZNF804A/SPTBN4/PLK3/ENDOG/SRCIN1/MAPK8IP1/CASR/TPX2/HCN3/SLC1A3/INSR/CDK5R1/NTRK1/GABBR1/SLC12A5/ATP1A2/L1CAM/BAIAP2/SHANK2/MAST1/CACNA1E/KCNB1/C4A/MAPT/KCNN3/CRHBP/KCNC2/UNC5A/DDN/PLXDC1/PCSK1/KIF5A/SLC8A1/KCNQ1/ERMN/KCNA2/ACVRL1/TMPRSS3/SLC8A3/EPHB2/DSCAM/NRGN/GAP43/CPNE6/SCN1A/S100A5/SKOR1/PRPH/TTBK1/DIXDC1/FZD3/SORCS2/ATP2B2/CTNND2/KCND2/ARC/TGFB2/BRINP1/OPRM1/GLRA3/NCF1/SV2A/BRINP3/TMPRSS5/GRIP1/GLRA1/UCN/EPHA4/AMIGO1/NTSR1/COBL/ITGA4/GRIA4	186
GO:0031252	cell leading edge	162/4702	421/19869	5.221448003954486e-12	6.631238965022197e-10	5.139004088102574e-10	VIM/SRC/DUSP22/PTK2B/FSCN1/SCIMP/CD44/TPM1/ACTN1/UNC5C/SHISA8/WASF3/FGD1/KCNH1/RDX/LCP1/APBB2/ARHGAP31/FERMT2/FGR/RASGRP2/PSD/MYO1C/ARPC2/CTTN/FER/KANK1/ROBO2/AMOT/PLCG1/PABPC1/CADM4/RAPH1/SRGAP2/ITGB1/ARHGEF6/EEF1A1/GBF1/NCKAP1/CNTNAP2/MTSS1/DPP4/MTM1/PAK1/SAMSN1/MYO1G/CYFIP1/MACF1/RAB3IP/WASL/CTTNBP2NL/KITLG/PARVA/CDC42BPA/CORO1A/DPYSL3/GSN/ABLIM3/MYLK/ARAP3/LIMA1/PARVB/RUFY3/PHLDB2/PTPRK/PPP1R9B/PLEKHG5/DUOX1/AAK1/MPP2/SLC9A1/FAT1/PTPN13/CDK6/CCDC88A/RIPOR2/JMY/DAGLA/PDE4A/IGF2BP1/MYO1D/TUBG1/FRMD4B/SHTN1/AIF1L/ARHGEF7/ATF4/FGD3/CDC42BPB/PDE9A/SPTBN1/RAB13/MTMR9/PSD3/INPPL1/CYTH3/PLCE1/PSD4/ITGA5/EPS8/TIAM2/TLN2/PSD2/SPRY2/HIP1R/FAM89B/SLC1A2/ACTB/MYH9/MYO6/HPCA/EPHA2/CDC42BPG/DUOX2/SH3RF1/CARMIL3/SPRY4/MYADM/PLEKHA1/SRCIN1/PKD2/INSR/DST/GABBR1/SLC12A5/WASF1/BAIAP2/KCNB1/MAPT/MYH10/SPEF1/SH3BP1/KCNC2/ADGRE2/UNC5A/ACTA2/DDN/LAYN/IQGAP2/FGD6/CXCR4/NHS/EPB41L5/OPRD1/KCNA2/EPS8L1/MCC/CLIP1/DLC1/RHOA/ATP2B2/ARHGEF26/EPB41L3/ACTG2/OPRM1/OCLN/CDH1/GABRA6/PLEK2/COBL/ITGB4/PTPRM	162
GO:0098858	actin-based cell projection	98/4702	223/19869	1.734297550884745e-11	1.887906762534537e-9	1.4630690617238222e-9	SRC/FSCN1/SCIMP/CD44/GPM6A/UNC5C/FMN2/SLC6A6/RDX/LCP1/DOCK4/PDGFA/MYO1C/MYO7A/TGFB1/LRRK2/RAPH1/DYNC2I2/ADCY6/ITGB1/ICAM2/ITGA3/NGDN/HOMER2/MPP1/MTM1/MYO1G/CYFIP1/TBC1D10A/KITLG/MAP2/FXR1/RUFY3/BBS2/DCXR/PPP1R9B/ATP8B1/FAT1/ANGPT1/EPHB1/MYO3A/RIPOR2/PKHD1L1/DYNC1H1/SLC7A8/IGF2BP1/MYO1D/SLC4A7/TPRN/SHTN1/FXR2/CXADR/WHRN/NLGN1/INPPL1/TSPEAR/CEACAM1/EPS8/TIAM2/SLC26A2/ESPNL/PDGFRA/HLA-G/MYO6/CA9/FARP1/SYTL1/VCAM1/SRCIN1/BAIAP2/SPEF1/STARD10/MYO3B/ACTA2/IQGAP2/ERMN/MYO1B/SLC7A5/CDH23/NOS1AP/GAP43/TENM2/MUC20/FZD3/CEACAM16/FSCN2/PDZD7/ACP3/ACTG2/CD302/CBLIF/PCDH15/ACTN2/MYO7B/EPHA4/ADGRA2/PLS1/NFASC	98
GO:0098984	neuron to neuron synapse	136/4702	351/19869	1.5249482183987762e-10	1.4106390264045287e-8	1.0932014004875543e-8	SRC/SYNPO/PTK2B/NSMF/SHISA8/SEMA4C/KCNH1/IQSEC1/EEF2K/PKP4/PSD/RTN4/ABHD17C/PRKAR1B/RNF19A/GRIK5/CRTC1/DLGAP3/NECTIN1/SRGAP2/BNIP3/TAMALIN/SLC30A1/DCLK1/NPTN/PDE4B/DLG4/NLGN2/RPL12/PRR7/HOMER2/NCK2/ADD3/CADM1/NEURL1/MAP1B/CPEB3/LRP4/CLSTN3/SH3GL3/NGFR/DTNB/FXR1/GRIK4/PPP1R9B/SAMD14/CAMK2A/MPP2/RPS19/CRYAB/SYT7/PCBP2/DAGLA/SYT9/SHANK3/SYNGAP1/DLG5/GRIN1/INSYN1/TANC1/SYN2/FXR2/P2RX4/SLC16A3/NLGN1/SPTBN1/KLHL17/PSD3/RPLP0/PTPRS/CABP1/KALRN/EPS8/ADGRB1/TSC2/SYN1/HIP1R/LRRC4C/RAPGEF4/LRFN5/LRP8/CACNG7/PLEKHA5/DLG2/PHB2/RPL14/DMTN/NLGN4Y/NCS1/NRCAM/SIGMAR1/ATP1B2/FYN/SRCIN1/ANKS1B/SLC30A3/LRRC4B/NLGN4X/CDK5R1/DCC/HOMER3/BAIAP2/SHANK2/IGSF9B/CACNG8/GRIN2B/MYD88/TNIK/RGS9/SLC8A1/GRIN2D/OPRD1/ADAM22/SLC8A3/NRGN/CACNG4/GAP43/ADCY1/CAMK2N1/DNAJC6/BCR/SORCS2/ATP2B2/CTNND2/KCND2/ARC/DLGAP2/ARHGAP32/GRIP1/STX1A/EPHA4/GRM5/NTSR1/ADD2/PRRT2/CPEB1	136
GO:0044309	neuron spine	80/4702	176/19869	1.6661090863045614e-10	1.4106390264045287e-8	1.0932014004875543e-8	FCGR2B/SYNPO/PTK2B/GPM6A/ACTN1/SHISA8/SEPTIN11/CANX/PTK2/PRKAR2B/NEDD4/EEF2K/PSD/CTTN/ABHD17C/ASAP1/DOCK10/SRGAP2/ITGB1/PDE4B/DLG4/EEA1/LPAR1/CYFIP1/TANC2/NEURL1/MAP1B/KCNJ2/NGFR/FXR1/PPP1R9B/CAMK2A/MPP2/CRYAB/ASIC2/OPHN1/DAGLA/IGF2BP1/SHANK3/GRIN1/FXR2/P2RX4/NLGN1/ADGRB1/HIP1R/FRMPD4/HPCA/FARP1/ZNF804A/ITPKA/ANKS1B/CDK5R1/GABBR1/ATP1A2/BAIAP2/SHANK2/MAPT/CD3E/DDN/SLC8A1/OPRD1/SLC8A3/EPHB2/NRGN/TENM2/BCR/RHOA/SORCS2/ATP2B2/KCND2/ARC/OPRM1/ARHGAP32/ACTN2/EPHA4/GRM5/NTSR1/GRIA4/PRRT2/PPFIA2	80
GO:0043197	dendritic spine	79/4702	175/19869	3.2487547833856545e-10	2.4755511449398687e-8	1.9184751931361598e-8	FCGR2B/SYNPO/PTK2B/GPM6A/ACTN1/SHISA8/SEPTIN11/CANX/PTK2/PRKAR2B/NEDD4/EEF2K/PSD/CTTN/ABHD17C/ASAP1/DOCK10/SRGAP2/ITGB1/PDE4B/DLG4/LPAR1/CYFIP1/TANC2/NEURL1/MAP1B/KCNJ2/NGFR/FXR1/PPP1R9B/CAMK2A/MPP2/CRYAB/ASIC2/OPHN1/DAGLA/IGF2BP1/SHANK3/GRIN1/FXR2/P2RX4/NLGN1/ADGRB1/HIP1R/FRMPD4/HPCA/FARP1/ZNF804A/ITPKA/ANKS1B/CDK5R1/GABBR1/ATP1A2/BAIAP2/SHANK2/MAPT/CD3E/DDN/SLC8A1/OPRD1/SLC8A3/EPHB2/NRGN/TENM2/BCR/RHOA/SORCS2/ATP2B2/KCND2/ARC/OPRM1/ARHGAP32/ACTN2/EPHA4/GRM5/NTSR1/GRIA4/PRRT2/PPFIA2	79
