ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
<<<<<<< HEAD
hsa04060	Cytokine-cytokine receptor interaction	108	-0.5141327431271748	-1.7704894008644292	4.0072300861605364e-7	1.1140099639526291e-4	9.828259053425316e-5	1052	tags=45%, list=21%, signal=37%	6352/3554/29949/3604/83729/1441/130399/3586/56300/8794/1233/6368/8784/8600/4804/6357/355/4049/27302/94/7850/3596/3597/8200/1271/3576/1438/6362/7293/6364/64109/7292/6363/959/3569/8792/3976/3553/10148/6346/3557/3552/6369/1437/3624/3593/6376/6367/6361
hsa05202	Transcriptional misregulation in cancer	83	-0.5285037444456241	-1.7880919895700982	4.048078258148844e-6	5.626828778826893e-4	4.964222284993056e-4	917	tags=45%, list=19%, signal=37%	10912/3002/942/598/7185/1848/64919/5154/4804/5468/85414/4914/7850/3195/4086/3728/102723407/8091/7704/5327/3576/5328/8013/3398/51513/3206/51804/5747/860/4211/3569/3207/5087/1437/2115/6495/5077
hsa03008	Ribosome biogenesis in eukaryotes	15	0.5648480215237796	2.4871079034419523	2.676629934354762e-4	0.016893637508450386	0.014904269365652935	1479	tags=87%, list=30%, signal=61%	10799/54913/54433/51077/27341/55341/1736/10885/55916/83732/138716/10528/65083
hsa03420	Nucleotide excision repair	11	0.6570840243008029	2.454424868611607	3.03842401231122e-4	0.016893637508450386	0.014904269365652935	1299	tags=91%, list=26%, signal=67%	100533467/56655/7507/5441/3978/5111/7508/2074/54107/5983
hsa05146	Amoebiasis	49	-0.5347302027881737	-1.7420494426597484	2.5954254959555985e-4	0.016893637508450386	0.014904269365652935	1346	tags=55%, list=27%, signal=41%	1287/1278/5291/5331/3554/2335/3918/3586/338382/2769/2776/5269/7850/102723407/3912/3576/5332/910/5747/913/87/3569/3914/3553/1437/3593/1277
hsa05143	African trypanosomiasis	21	-0.6136284602822968	-1.7722557248800046	9.950156029995833e-4	0.027661433763388418	0.024404066894621358	789	tags=71%, list=16%, signal=60%	7064/5331/169355/3586/3383/355/8542/2776/7412/102723407/5332/3569/3553/3620/3593
hsa04974	Protein digestion and absorption	35	-0.5586695022301239	-1.749341424443401	8.849610723697262e-4	0.027661433763388418	0.024404066894621358	1346	tags=66%, list=27%, signal=48%	1287/1278/8645/1803/6547/1358/481/85301/11136/477/50509/117247/1280/1307/482/480/1291/486/1292/1303/1289/1294/1277
hsa04061	Viral protein interaction with cytokine and cytokine receptor	39	-0.5457138404434329	-1.7384860135167532	7.084388296734166e-4	0.027661433763388418	0.024404066894621358	789	tags=41%, list=16%, signal=35%	3586/8794/1233/6368/6357/4049/3576/6362/6364/6363/3569/6346/6369/6376/6367/6361
hsa04630	JAK-STAT signaling pathway	54	-0.5081775858002103	-1.6625148812856845	8.623832660358744e-4	0.027661433763388418	0.024404066894621358	1413	tags=57%, list=29%, signal=41%	5008/3575/3559/894/5291/9306/6776/2690/1026/29949/316/1441/2273/3586/598/5155/5154/3596/3597/8835/1271/2670/1438/5156/64109/1154/3569/3976/9021/1437/3593
