ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000157191	8171.718122718645	-2.429668615040276	0.03748626247947058	-64.81490696414156	0	0
ENSG00000117090	2322.10028922069	-5.224264703520794	0.07756001185727854	-67.35770893297676	0	0
ENSG00000026751	4495.925858786974	-4.690934557583657	0.087093189279384	-53.861095183180495	0	0
ENSG00000072694	2202.9879983434475	4.3090988552951845	0.1114263893691985	38.672157284191286	0	0
ENSG00000026025	41706.91370145902	-3.1442390129356212	0.06308149671039251	-49.84407753308136	0	0
ENSG00000122862	18916.432596096463	-3.008952885698645	0.0790679017912296	-38.05530205725536	0	0
ENSG00000151532	17096.739713711937	-5.87545413784115	0.11452470334938564	-51.30294133936011	0	0
ENSG00000100906	20862.152650289994	-2.676742695977407	0.06279262414852967	-42.62829802503301	0	0
ENSG00000211891	30385.465044754514	-13.319540932681772	0.315319023247989	-42.241475935964544	0	0
ENSG00000166128	6760.565851106967	-2.123416258113719	0.05576416130982614	-38.078511506987454	0	0
ENSG00000138623	9857.951188275703	-4.668898775945261	0.09259826773944177	-50.42101639614763	0	0
ENSG00000102962	66110.7159529543	-14.937519076015064	0.2812590703845676	-53.10946614305055	0	0
ENSG00000141161	1967.869813960721	-7.214741055820658	0.16638051165872228	-43.36289739641773	0	0
ENSG00000002919	8491.756896827676	-3.9192359903023775	0.09849516487887389	-39.79115112018062	0	0
ENSG00000167414	1228.0345461741656	-5.9409423304874345	0.15736471160095805	-37.752697349024125	0	0
ENSG00000171552	8237.01535345049	-4.839554785082439	0.0835021943036039	-57.9572168784739	0	0
ENSG00000197122	1721.0116911023817	-4.283768192004288	0.11095277566983937	-38.608932188875	0	0
ENSG00000114737	3604.4433956665903	-6.801748608873742	0.1503667567095704	-45.234390617409865	0	0
ENSG00000164236	7959.211930153344	-7.775704874102154	0.19859101425168219	-39.15436407534381	0	0
ENSG00000171992	1905.8321551693368	-8.68172906266208	0.22297755116170045	-38.935439991294025	0	0
ENSG00000112679	1618.403407654047	-3.493500161041317	0.08324881060955458	-41.96456544497902	0	0
ENSG00000118503	22761.659304292483	-4.624315765888637	0.10469191506826922	-44.17070566407289	0	0
ENSG00000106665	1397.7122155200504	-6.9943879593084235	0.15471848000666966	-45.20719153269155	0	0
ENSG00000058091	7292.451632332888	2.024522140750031	0.05158964410347471	39.242801068551536	0	0
ENSG00000196511	5272.273949628528	-4.253185506521828	0.1028260117242929	-41.362933709087955	0	0
ENSG00000155189	3437.934945729799	2.786586890778015	0.06691866959462361	41.641397051950584	0	0
ENSG00000123595	1752.886715904552	-2.5781647125632334	0.059691437491212036	-43.19153334082127	0	0
ENSG00000102245	6439.138709594521	-8.074909476460503	0.20071643580191365	-40.230434763347446	0	0
ENSG00000155962	768.266321480708	-6.454261764255983	0.16948040680038462	-38.082642625810216	0	0
ENSG00000120899	7706.656675502534	-2.587496841271396	0.06925098139156885	-37.364045812445596	1.4997198977883204e-305	8.577398002084e-303
ENSG00000104951	7640.346094779329	-7.6524772021204255	0.206346752692546	-37.08552280210834	4.808419458081056e-301	2.661382614895315e-298
ENSG00000158710	28068.69413768497	-2.913940745789833	0.07890063246409285	-36.93177931261766	1.4284651282133542e-298	7.659251459338979e-296
ENSG00000159202	8406.30738669632	-1.849465159710395	0.05040395776036469	-36.69285591626156	9.493904814960484e-295	4.9362551156088485e-292
ENSG00000102786	2524.1215209134334	-2.4255000777607236	0.06613362206210396	-36.67574831275708	1.7791061102129513e-294	8.978206658539358e-292
ENSG00000075618	1607.559634330113	-9.115976184741854	0.25260367850047505	-36.08805793667296	3.491281808768636e-285	1.7115260935672076e-282
ENSG00000182197	1612.6008891097129	-4.43634633951389	0.12350409541027708	-35.92064153643225	1.4548096272327995e-282	6.933784328905659e-280
ENSG00000074416	2978.448737191769	-7.535941505513791	0.21064256036285672	-35.775968031020135	2.6117859119180236e-280	1.2111627750456609e-277
ENSG00000108389	4491.994463415597	-2.4332278825062037	0.06855962847534926	-35.49068069091237	6.84435260328181e-276	3.090405314923929e-273
ENSG00000163704	605.220199543862	-6.2996953060652165	0.18006753635633158	-34.98518074684429	3.780429790451842e-268	1.6631952396044282e-265
ENSG00000158457	7056.096004204991	-4.201309366700734	0.1222862355686449	-34.35635537527317	1.1319625216824334e-258	4.855553236756798e-256
ENSG00000184009	56253.82390895149	-2.1051703310790697	0.061870992087361194	-34.02515880312039	9.46068080845144e-254	3.959179544180727e-251
ENSG00000125733	4160.942313839942	-4.751109586038384	0.13976106169196012	-33.99451555763114	2.6848651530266742e-253	1.0968313403721828e-250
ENSG00000161929	1151.9997220064508	4.6656065625919965	0.139707274985163	33.39558776081981	1.5888523414169448e-244	6.339890342798125e-242
