ensembl_gene_id	external_gene_name	chromosome_name	start_position	end_position	gene_biotype	entrezgene_id
ENSG00000000460	FIRRM	1	169662007	169854080	protein_coding	55732
ENSG00000000938	FGR	1	27612064	27635185	protein_coding	2268
ENSG00000001084	GCLC	6	53497341	53616970	protein_coding	2729
ENSG00000001167	NFYA	6	41072974	41102403	protein_coding	4800
ENSG00000001497	LAS1L	X	65438549	65534810	protein_coding	81887
ENSG00000001617	SEMA3F	3	50155045	50189075	protein_coding	6405
ENSG00000002587	HS3ST1	4	11393150	11429564	protein_coding	9957
ENSG00000002745	WNT16	7	121325367	121341104	protein_coding	51384
ENSG00000002834	LASP1	17	38869859	38921770	protein_coding	3927
ENSG00000002919	SNX11	17	48103357	48123601	protein_coding	29916
ENSG00000003137	CYP26B1	2	72129238	72147862	protein_coding	56603
ENSG00000003402	CFLAR	2	201116154	201176687	protein_coding	8837
ENSG00000003987	MTMR7	8	17296794	17413528	protein_coding	9108
ENSG00000004478	FKBP4	12	2794970	2805423	protein_coding	2288
ENSG00000004700	RECQL	12	21468910	21501669	protein_coding	5965
ENSG00000004799	PDK4	7	95583499	95596516	protein_coding	5166
ENSG00000004866	ST7	7	116953238	117230176	protein_coding	93655
ENSG00000004975	DVL2	17	7225342	7234517	protein_coding	1856
ENSG00000005020	SKAP2	7	26667068	26995239	protein_coding	8935
ENSG00000005059	MCUB	4	109560209	109688719	protein_coding	55013
ENSG00000005073	HOXA11	7	27181157	27185232	protein_coding	3207
ENSG00000005175	RPAP3	12	47661249	47706030	protein_coding	79657
ENSG00000005238	ATOSB	9	35104112	35116341	protein_coding	80256
ENSG00000005249	PRKAR2B	7	107044705	107161811	protein_coding	5577
ENSG00000005302	MSL3	X	11758159	11775772	protein_coding	10943
ENSG00000005448	WDR54	2	74421678	74425755	protein_coding	84058
ENSG00000005471	ABCB4	7	87401696	87480435	protein_coding	5244
ENSG00000005844	ITGAL	16	30472658	30523567	protein_coding	3683
ENSG00000005884	ITGA3	17	50055968	50090481	protein_coding	3675
ENSG00000006007	GDE1	16	19501693	19522123	protein_coding	51573
ENSG00000006025	OSBPL7	17	47807372	47821803	protein_coding	114881
ENSG00000006062	MAP3K14	17	45263119	45317029	protein_coding	9020
ENSG00000006210	CX3CL1	16	57372477	57385044	protein_coding	6376
ENSG00000006283	CACNA1G	17	50560715	50627474	protein_coding	8913
ENSG00000006451	RALA	7	39623565	39708120	protein_coding	5898
ENSG00000006459	KDM7A	7	140084746	140176983	protein_coding	80853
ENSG00000006468	ETV1	7	13891229	13991425	protein_coding	2115
ENSG00000006576	PHTF2	7	77798773	77957503	protein_coding	57157
ENSG00000006634	DBF4	7	87876216	87909553	protein_coding	10926
ENSG00000006740	ARHGAP44	17	12789498	12991643	protein_coding	9912
ENSG00000006744	ELAC2	17	12991612	13018065	protein_coding	60528
ENSG00000006756	ARSD	X	2903972	2929349	protein_coding	414
ENSG00000007001	UPP2	2	157876702	158136154	protein_coding	151531
ENSG00000007038	PRSS21	16	2817180	2826304	protein_coding	10942
ENSG00000007047	MARK4	19	45079288	45305284	protein_coding	57787
ENSG00000007129	CEACAM21	19	41549518	41586844	protein_coding	90273
ENSG00000007168	PAFAH1B1	17	2593210	2685615	protein_coding	5048
ENSG00000007312	CD79B	17	63928738	63932336	protein_coding	974
ENSG00000007372	PAX6	11	31784779	31817961	protein_coding	5080
ENSG00000007376	RPUSD1	16	784974	788397	protein_coding	113000
ENSG00000007384	RHBDF1	16	58059	76355	protein_coding	64285
ENSG00000007952	NOX1	X	100843324	100874359	protein_coding	27035
ENSG00000008056	SYN1	X	47571901	47619857	protein_coding	6853
ENSG00000008118	CAMK1G	1	209583714	209613939	protein_coding	57172
ENSG00000008130	NADK	1	1751232	1780457	protein_coding	65220
ENSG00000008256	CYTH3	7	6161779	6272644	protein_coding	9265
ENSG00000008283	CYB561	17	63432304	63446354	protein_coding	1534
ENSG00000008405	CRY1	12	106991364	107093549	protein_coding	1407
