ensembl_gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	external_gene_name	chromosome_name	start_position	end_position	gene_biotype	entrezgene_id
ENSG00000157191	8171.718122718645	-2.429668615040276	0.03748626247947058	-64.81490696414156	0	0	NECAP2	1	16440721	16460078	protein_coding	55707
ENSG00000117090	2322.10028922069	-5.224264703520794	0.07756001185727854	-67.35770893297676	0	0	SLAMF1	1	160608106	160647044	protein_coding	6504
ENSG00000026751	4495.925858786974	-4.690934557583657	0.087093189279384	-53.861095183180495	0	0	SLAMF7	1	160739057	160754821	protein_coding	57823
ENSG00000072694	2202.9879983434475	4.3090988552951845	0.1114263893691985	38.672157284191286	0	0	FCGR2B	1	161663143	161678654	protein_coding	2213
ENSG00000026025	41706.91370145902	-3.1442390129356212	0.06308149671039251	-49.84407753308136	0	0	VIM	10	17228241	17237593	protein_coding	7431
ENSG00000122862	18916.432596096463	-3.008952885698645	0.0790679017912296	-38.05530205725536	0	0	SRGN	10	69088103	69104805	protein_coding	5552
ENSG00000151532	17096.739713711937	-5.87545413784115	0.11452470334938564	-51.30294133936011	0	0	VTI1A	10	112446998	112818744	protein_coding	143187
ENSG00000100906	20862.15265028999	-2.676742695977407	0.06279262414852967	-42.62829802503301	0	0	NFKBIA	14	35401079	35404749	protein_coding	4792
ENSG00000211891	30385.465044754514	-13.319540932681772	0.315319023247989	-42.241475935964544	0	0	IGHE	14	105597691	105601728	IG_C_gene	NA
ENSG00000166128	6760.565851106967	-2.123416258113719	0.05576416130982614	-38.078511506987454	0	0	RAB8B	15	63189560	63267776	protein_coding	51762
ENSG00000138623	9857.951188275703	-4.668898775945261	0.09259826773944176	-50.42101639614763	0	0	SEMA7A	15	74409289	74433958	protein_coding	8482
ENSG00000102962	66110.7159529543	-14.937519076015064	0.2812590703845676	-53.10946614305055	0	0	CCL22	16	57358783	57366189	protein_coding	6367
ENSG00000141161	1967.869813960721	-7.214741055820658	0.16638051165872228	-43.36289739641773	0	0	UNC45B	17	35147817	35189345	protein_coding	146862
ENSG00000002919	8491.756896827676	-3.9192359903023775	0.09849516487887389	-39.79115112018062	0	0	SNX11	17	48103357	48123601	protein_coding	29916
ENSG00000167414	1228.0345461741656	-5.9409423304874345	0.15736471160095805	-37.752697349024125	0	0	GNG8	19	46633953	46636541	protein_coding	94235
ENSG00000171552	8237.01535345049	-4.839554785082439	0.0835021943036039	-57.9572168784739	0	0	BCL2L1	20	31664452	31723989	protein_coding	598
ENSG00000197122	1721.0116911023815	-4.283768192004288	0.11095277566983935	-38.608932188875	0	0	SRC	20	37344685	37406050	protein_coding	6714
ENSG00000114737	3604.4433956665903	-6.801748608873742	0.1503667567095704	-45.234390617409865	0	0	CISH	3	50606489	50611774	protein_coding	1154
ENSG00000164236	7959.211930153344	-7.775704874102154	0.1985910142516822	-39.15436407534381	0	0	ANKRD33B	5	10564070	10657816	protein_coding	651746
ENSG00000171992	1905.8321551693368	-8.68172906266208	0.22297755116170043	-38.935439991294025	0	0	SYNPO	5	150601080	150659207	protein_coding	11346
ENSG00000112679	1618.403407654047	-3.493500161041317	0.08324881060955458	-41.96456544497902	0	0	DUSP22	6	291630	351355	protein_coding	124907782
ENSG00000118503	22761.659304292483	-4.624315765888637	0.10469191506826922	-44.17070566407289	0	0	TNFAIP3	6	137867214	137883314	protein_coding	7128
ENSG00000106665	1397.7122155200504	-6.9943879593084235	0.15471848000666966	-45.20719153269155	0	0	CLIP2	7	74289407	74405935	protein_coding	7461
ENSG00000058091	7292.451632332888	2.024522140750031	0.05158964410347471	39.242801068551536	0	0	CDK14	7	90466424	91210590	protein_coding	5218
ENSG00000196511	5272.273949628528	-4.253185506521828	0.1028260117242929	-41.362933709087955	0	0	TPK1	7	144451941	144836395	protein_coding	27010
ENSG00000155189	3437.934945729799	2.786586890778015	0.06691866959462361	41.641397051950584	0	0	AGPAT5	8	6708642	6761503	protein_coding	55326
ENSG00000123595	1752.886715904552	-2.5781647125632334	0.05969143749121203	-43.19153334082127	0	0	RAB9A	X	13689128	13710504	protein_coding	9367
ENSG00000102245	6439.138709594521	-8.074909476460503	0.20071643580191365	-40.230434763347446	0	0	CD40LG	X	136648158	136660390	protein_coding	959
ENSG00000155962	768.266321480708	-6.454261764255983	0.16948040680038462	-38.082642625810216	0	0	CLIC2	X	155276211	155334657	protein_coding	1193
ENSG00000120899	7706.656675502534	-2.587496841271396	0.06925098139156885	-37.3640458124456	1.4997198977883204e-291	8.577398002084e-295	PTK2B	8	27311482	27459391	protein_coding	2185
